Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159
Console apps,Games,Libraries,,,Native desktop apps,,Web services / APIs,,,,,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,,,,Windows Forms (WinForms),,,,,,,,,,None,,,Visual Studio,Visual Studio Code,,,JetBrains Rider,GitHub,,,,F#,,,,C++,,,Rust,,,,,F#,,,,C++,,,Rust,,,,,F#,,,,C++,,,Rust,,,,,,,,,None,,,Somewhat familiar,Strongly approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,,,,,,,,.NET 5,,,,,,ASP.NET Web API,,,,,,,,,,,,,,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,,,F#,,,,,,,,,,,,F#,,,,,,,,,,,,F#,TypeScript,,,,,,Rust,,Clojure,Amazon Web Services,,,,,,,,Newtonsoft  FSharp.Core  FsCheck,Very familiar,Disapprove,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,,.NET Foundation,,F# Software Foundation,Below expectations,Below expectations,,It’s sad to me that the .NET Foundation doesn’t move the community towards F#. ,Neither approve nor disapprove,Strongly agree,Agree,4,2,3,1,5,6,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Don't Know,Yes,Yes,Yes,,Yes,,Prefer not to say,,North America,,Prefer not to say,"501-1,000",10-Feb,5 to 9 years,,,,,,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,"Developer, DevOps",,,,,,,,
,,,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,,,,,,,,,,,,,Blazor,,Vue,,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,,,,,,,,,C#,,,TypeScript,,,,,,,,,C#,,,TypeScript,,,,,,,,,,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,.NET Core 2.1 LTS,.NET Core 2.2,.NET Core 3.0,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,Angular,,React,Vue,,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,serilog,Very familiar,Strongly approve,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Below expectations,Open Source Projects,,Approve,Agree,Agree,2,3,1,4,6,5,,,Consumer (downloads and uses),,,No,No,No,Yes,,Yes,,Male,,Asia,,"Between $75,000 and $99,999",Nov-50,10-Feb,5 to 9 years,,,,,,"Developer, backend",,,,"Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,,,ASP.NET Blazor,ASP.NET SignalR,,,,,,,,,,Azure Functions,,Blazor,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,F#,,,,,,,,,,C#,,F#,TypeScript,JavaScript,,,,,,,,,,F#,,,,,,Go,,,,,,Microsoft Azure,,,,,,"FluentValidation,MediatR,HotChocolateGraphQL",Not so familiar,Approve,Apache Foundation,,,Linux Foundation,,,,,Below expectations,Below expectations,,".net foundation should not concentrate only on C#, you have best language F#",Strongly approve,Neither agree nor disagree,Agree,5,1,3,6,2,4,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Asia,,"Between $15,000 and $29,999",10-Feb,10-Feb,5 to 9 years,,,,,,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,"Developer, DevOps",,,,,,,,
Console apps,,,,,,,,,,,,,,,,,.NET 5,,,,,,,,,,,,,,Windows Presentation Foundation (WPF),,,,,,,,,,Not writing single-page apps,,,,,.NET Command Line Interface (CLI),,GitHub,Vim,C#,,F#,,,,,Python,,,,,C#,,F#,,,,C++,Python,Go,Rust,,,,,F#,,,,,,,Rust,,,,,Microsoft Azure,,,,,,"MathNet,powershell",Not so familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Strongly agree,4,3,5,6,1,2,,,Consumer (downloads and uses),,,No,No,Yes,Yes,,Yes,,Male,,Asia,,Prefer not to say,Nov-50,10-Feb,1 to 4 years,,,Data scientist,,,,,,,,,,,Educator,,Researcher,,,,,
Console apps,,,,,,Web apps,Web services / APIs,Desktop hosted Webapps,,,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,ASP.NET Razor Pages,,,,Windows Presentation Foundation (WPF),,,,,,,,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,F#,,,,,Python,,Rust,,,,,Microsoft Azure,,,,,,,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Below expectations,Below expectations,,Embrace others to Contribute to Projects.  ,Neither approve nor disapprove,Neither agree nor disagree,Disagree,3,1,2,4,5,6,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),Sponsor (financial support),,Yes,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $100,000 and $150,000",1,,15 to 19 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,"Developer, DevOps",,,,,,,,
,,Libraries,,Mobile apps,Native desktop apps,,,,,.NET Framework 4.0 – 4.7.2,,,,,.NET Core 3.0,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,UWP,,Entity Framework,,,,,,,Xamarin,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),,,,,,,,None,,,Visual Studio,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,Kotlin,,,Microsoft Azure,,,,,,JSON.net xamarin essentials xamarin community toolkit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,Web services / APIs,,,,.NET Framework 4.8,,,,,,.NET 5,,,,Entity Framework,,ASP.NET Web API,,ASP.NET SignalR,,,,,,Windows Presentation Foundation (WPF),,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,,,,,,,,,C#,,,TypeScript,,,,,,,,,,,,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Met expectations,"I have heard of it, no idea what they do",Increase visibility of what they do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,,,,,,,,.NET 5,,,,,,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,,,React,,,,,,Visual Studio Code,,,JetBrains Rider,,,C#,,F#,TypeScript,JavaScript,,,,Go,,,,C#,,F#,TypeScript,JavaScript,,,,Go,,,,,,F#,,,,,,,Rust,,,Amazon Web Services,,Microsoft Azure,,,,,,,Somewhat familiar,Neither approve nor disapprove,,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Below expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,,ASP.NET Web API,,,,,,,Windows Forms (WinForms),,,,Unity,,,,,,None,,,Visual Studio,Visual Studio Code,,,,,,C#,,F#,,,,,,,,,,C#,,F#,,JavaScript,Java,,,,,,,,,,TypeScript,,,,,Go,,,,,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Neither agree nor disagree,6,4,2,1,3,5,,,Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $75,000 and $99,999","501-1,000",Nov-50,20 years or more,,,,,,,,,,,,,"Developer, DevOps",,,,,,,,Enterprise architect
Console apps,,Libraries,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,,,,,,,,,,,Blazor,,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,F#,TypeScript,JavaScript,,,,,,,Kotlin✨,C#,,F#,TypeScript,JavaScript,,C++,,,,,,C#,,F#,TypeScript,JavaScript,,,,,Rust,,Kotlin 👀,,,Microsoft Azure,,,,,,,Somewhat familiar,Strongly approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Strongly agree,Strongly agree,1,4,6,2,3,5,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Female,,Europe,,"Between $30,000 and $49,999","501-1,000",10-Feb,1 to 4 years,,,,,,"Developer, backend",,,"Developer, frontend","Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,,,,,,.NET Core 3.0,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,,JetBrains Rider,GitHub,,C#,,,TypeScript,,,,,,,,,C#,,,TypeScript,,,,,,,,,,,F#,,,,,,,,,,,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,.NET Core 2.2,,.NET Core 3.1 LTS,,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,ASP.NET WebForms,ASP.NET Razor Pages,,,,,,Windows Communication Foundation (WCF),,,Angular,,,,,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,,,,Python,,,,,C#,,F#,TypeScript,JavaScript,,,Python,,,,,,,F#,,,,,,,Rust,,,,,Microsoft Azure,,,,,,,Not so familiar,Strongly approve,Apache Foundation,,,,,,,,Met expectations,Met expectations,,,Approve,Agree,Agree,5,1,4,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,.NET Core 2.2,,.NET Core 3.1 LTS,,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,ASP.NET Razor Pages,,,,,,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,JavaScript,,,Python,,,,,C#,,,TypeScript,JavaScript,,,Python,,,,,,,,,,,,,,,,,,,Microsoft Azure,,,,,,Autofac  Serilog  NUnit  FakeItEasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mobile apps,,Web apps,,,,,,,,,,,.NET 5,Mono / Xamarin,,,,,,,,,,Xamarin,,,,,,,Fable,,,,,,,Svelte,,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,Emacs,,,F#,,JavaScript,,,,,,,,,,F#,,JavaScript,,,,,,,,,,,,,,,,,Rust,,,,,,,,,None,,System.Text.Json,Not so familiar,Neither approve nor disapprove,Apache Foundation,,,Linux Foundation,OpenJS Foundation,,,,Met expectations,Met expectations,Cross platform,Lastest F# on Xamarin,Approve,Agree,Agree,1,5,3,4,6,2,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,No,Yes,Don't know,,Don't Know,,Male,,Asia,,"Between $50,000 and $74,999",51-200,10-Feb,1 to 4 years,,,,,,,,,,,,"Developer, mobile",,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,.NET Core 2.2,,.NET Core 3.1 LTS,,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,Angular,,React,Vue,,,,Visual Studio,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,"Powershell, SQL",,,F#,,,,,,Go,,,,Amazon Web Services,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,,,,,Windows Presentation Foundation (WPF),,,,,,Blazor,,,,,,Visual Studio,Visual Studio Code,,,JetBrains Rider,,,C#,,,,,,,,,,,,C#,,F#,,,,,Python,,,,R,C#,,F#,,,,,,,,,R,,,Microsoft Azure,,,,,,newtonsoft.json  serilog  moq  automapper  xunit  nswag  polly  autofac  fluentvalidation  fluentassertions  Colorful.Console,Very familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,"I can't say I really following all changes in .NET foundation, but there is a thing it still lacks: no easy to use tools for data visualization and creation of simple data visualization apps. I love to use plotly library in python, I tried to use it in C# and F#. But what I really couldn't find - smth similar to Dash framework in python, so I can use it from my primary lang C#","I don't know much about current roadmap where it goes :)  Personally for me I'd like to have tools for easy creating data visualization apps.   I work on different engineering  domains. I'd like to quickly gather data from code, dump it into csv files for example and plot some lines/bars,heatmaps etc. I can do it easily in python, but not .net.   And also I wish there is better support of Jupyter Notebooks in C#/F#",Strongly approve,Strongly agree,Strongly agree,4,2,1,5,3,6,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $50,000 and $74,999","1,001-5000",Nov-50,10 to 14 years,,,Data scientist,,,"Developer, backend",,,,,,,"Developer, DevOps",,,Researcher,,,,,
Console apps,,Libraries,,,,Web apps,Web services / APIs,,,,,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,,,,,ASP.NET Razor Pages,,,,,,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,,,,,,,,,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,Microsoft extensions configuration binder  Microsoft extension configuration json  Entity framework core   ,Not so familiar,Neither approve nor disapprove,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Met expectations,Seems to be helpful for the community,More brand awareness,Strongly approve,Strongly agree,Strongly agree,3,2,6,1,4,5,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Between $100,000 and $150,000","501-1,000",10-Feb,15 to 19 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,,,,Web apps,,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,,,,,,,,,,,,,,Giraffe,,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,,,F#,TypeScript,,,,,,,,,,,F#,TypeScript,,,,,,,,,,,,,,,,,,,,"F# is all I need, used some powershell recently",,,Microsoft Azure,,,,,,"Dapper, Argu, Expecto, DependentTypes, FSharp.Data, Microsoft.Data.SqlClient, Microsoft.NET.Test.Sdk, YoloDev.Expecto.TestSdk",Somewhat familiar,Approve,Apache Foundation,,,,,.NET Foundation,,F# Foundation,Met expectations,Met expectations,promotes cross-OS use of .NET,no opinion,Approve,Agree,Agree,2,3,1,5,4,6,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,No,Don't Know,Yes,n/a,Yes,n/a,Prefer not to say,,North America,,Prefer not to say,Nov-50,10-Feb,15 to 19 years,,,,,,,,,,"Developer, fullstack",,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,,Mobile apps,,Web apps,Web services / APIs,,,,,,,,,,.NET 5,Mono / Xamarin,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,ASP.NET Razor Pages,Xamarin,,,,,,,,,,,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,,,,JavaScript,,,,Go,,,PHP,C#,,,,JavaScript,Java,,Python,Go,,,PHP,,,F#,TypeScript,,,,,,,Dart,,,,,,,,None,,Microsoft.EntityFrameworkCore  Microsoft.Extensions.Logging  Npgsql.EntityFrameworkCore.PostgreSQL  Swashbuckle.AspNetCore  Konscious.Security.Cryptography.Argon2  Flurl.Http  Bogus  xunit  ,Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,The League of Extraordinary Packages,Met expectations,Exceeded expectations,The diverse range of projects available and commitment to community and collaboration.,N/A,Approve,Strongly agree,Strongly agree,1,4,2,3,6,5,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,N/A,Yes,N/A,Male,,Africa,,"Under $15,000",1,1,6 months to 1 year,,,,,,"Developer, backend",,,"Developer, frontend",,,"Developer, mobile","Developer, DevOps",,,,,,,,
Console apps,,,,,Native desktop apps,Web apps,Web services / APIs,,,,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,,,,Windows Forms (WinForms),,,,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,JavaScript,,,Python,,,,,C#,,,,JavaScript,,,Python,,,,PHP,,,,TypeScript,JavaScript,,,Python,,,,,,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,,Microservices,,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,ASP.NET MVC,,,,,,,,,,,,,,,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,,,TypeScript,,,,Python,,Rust,,,C#,,F#,TypeScript,,,,Python,,Rust,,,,,F#,,,,,,Go,,,,,,Microsoft Azure,,,,,,,Not at all familiar,Neither approve nor disapprove,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mobile apps,,Web apps,,,.NET Framework 3.5 or earlier,,,,,,,,,,,,,,,,,ASP.NET WebForms,ASP.NET Razor Pages,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,Blazor,,,,,,Visual Studio,Visual Studio Code,,,,,,,VB.NET,,,JavaScript,,,Python,,,,,,VB.NET,,,JavaScript,,,Python,,,,,C#,VB.NET,F#,TypeScript,JavaScript,Java,C++,Python,Go,Rust,Dart,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,Nuget package for winforms,Somewhat familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Exceeded expectations,Exceeded expectations,It is great,It is already amazing,Strongly approve,Strongly agree,Strongly agree,4,1,2,3,6,5,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Asia,,"Between $30,000 and $49,999","1,001-5000",Nov-50,6 months to 1 year,,Data analyst,Data scientist,Database adminstrator,,,,,,,,,,,,,,,,,
Console apps,,Libraries,,,Native desktop apps,,,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,,,,,,,,,,Windows Forms (WinForms),,,,,,,,,,None,,,Visual Studio,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,None,,Epplus,Not so familiar,Approve,,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Agree,2,5,6,4,1,3,,,,,,No,No,Don't Know,Yes,,Yes,,Male,,Asia,,"Between $75,000 and $99,999",Nov-50,1,10 to 14 years,,,,,,,,,,"Developer, fullstack",,,"Developer, DevOps",,,,,,,Systems admin,
Console apps,,Libraries,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,Xamarin,ML.NET,,Windows Presentation Foundation (WPF),,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,TypeScript,,,,Python,,,,,C#,,,TypeScript,,,,Python,,,,,,,,,,,,,,,Dart,,,Google Cloud Platform,Microsoft Azure,,,,,,FluentAssertions  MediaR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,ASP.NET MVC,,,,ASP.NET WebForms,ASP.NET Razor Pages,,,,,,,,Giraffe,,,,,,,Fable,Visual Studio,,,.NET Command Line Interface (CLI),,,Emacs,C#,,F#,,,,,,,,,,C#,,F#,,,,,,,,,,,,F#,,,,,,,Rust,,,,,Microsoft Azure,,,,,,"FSharp.Core, Giraffe, FSharp.SystemTextJson, protobuf-net, Coverlet.MSBuild, Dapper, NodaTime, FsCheck, Unquote, XUnit",Not so familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,F# Foundation,Met expectations,Met expectations,,,Approve,Agree,Agree,4,2,6,1,5,3,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $50,000 and $74,999",201-500,51-100,10 to 14 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,,
Console apps,,,Microservices,,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,,,,ASP.NET SignalR,,,,,,,,,,Giraffe (https://github.com/giraffe-fsharp/Giraffe),,,,,,,Fable.React (https://github.com/fable-compiler/fable-react),,,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,,,F#,TypeScript,JavaScript,,,,,,,,,,F#,TypeScript,JavaScript,,,,,,,,,,F#,,,,,,,,,,Amazon Web Services,,,,,,,,Microsoft.AspNetCore.App  Giraffe  Fable.Core  Fable.Remoting.Client  Fable.React,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Below expectations,Below expectations,"Well .. I don't really know the .NET Foundation. It hasn't really caught my attention, so that's probably a bad thing. I've skimmed the projects. Now that I skimmed the projects, I am a tad surprised that none of my favorite .NET Projects are listed.",Put some of the cool F# projects in the spotlight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,,,,,,,,,.NET Core 3.0,,,,,,Entity Framework,ASP.NET MVC,,,,,,,,,,,,,,,,React,,,,,,Visual Studio Code,,,,,,C#,,F#,TypeScript,JavaScript,,,,Go,,,,C#,,F#,TypeScript,JavaScript,,,,Go,,,,,,F#,,,,,,Go,Rust,,,,,,,,,,Digitalocean,ASP.NET MVC,Not so familiar,Approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Agree,3,2,1,5,4,6,,,Consumer (downloads and uses),,,No,No,No,No,,Yes,,Male,,Asia,,"Between $15,000 and $29,999","501-1,000",10-Feb,6 months to 1 year,,,,,,,,,"Developer, frontend","Developer, fullstack",,,,,,,,,,,
